City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Port Blair,IN,83.88,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
7,Jalu,LY,82.2,clear sky,29.0331,21.5482,صاحبة الفخامة
8,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
10,Lata,PT,76.05,clear sky,40.1629,-8.3327,Casa Maquia
16,North Myrtle Beach,US,78.85,light rain,33.816,-78.68,Avista Resort
23,Havelock,US,85.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
26,Rikitea,PF,76.71,overcast clouds,-23.1203,-134.9692,Pension Maro'i
31,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Atuona,PF,79.7,broken clouds,-9.8,-139.0333,Villa Enata
35,Bandarbeyla,SO,80.58,clear sky,9.4942,50.8122,JABIR HOTEL
39,Arraial Do Cabo,BR,76.71,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
47,Muisne,EC,78.4,overcast clouds,0.6,-80.0333,Quinta Samay
52,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Sur,OM,84.2,clear sky,22.5667,59.5289,Sur Plaza Hotel
66,Ca Mau,VN,81.54,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
67,Victoria,HK,82.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
73,Lorengau,PG,79.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
75,Brokopondo,SR,84.85,light rain,4.75,-55.1667,Matu Island
78,Port-Gentil,GA,78.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
85,Jamestown,US,85.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
89,Puerto Leguizamo,CO,82.78,overcast clouds,-0.1934,-74.7819,la casona de juancho
92,Ikom,NG,75.58,overcast clouds,5.9667,8.7063,Reho Farm & Resort
95,Hilo,US,77.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
110,Cockburn Town,TC,80.1,clear sky,21.4612,-71.1419,Osprey Beach Hotel
115,Meulaboh,ID,75.13,overcast clouds,4.1363,96.1285,Kost Pria
120,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
126,Hithadhoo,MV,83.17,clear sky,-0.6,73.0833,Scoop Guest House
127,Seka,TH,75.78,overcast clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
129,Pitimbu,BR,79.68,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
130,Athmallik,IN,84.09,broken clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
134,Varzea Da Palma,BR,79.79,overcast clouds,-17.5981,-44.7308,Casa Fernandes
135,Trincomalee,LK,81.57,overcast clouds,8.5711,81.2335,Welcombe Hotel
139,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
147,Sola,VU,80.13,broken clouds,-13.8833,167.55,Leumerus Bungalows
154,Samarai,PG,78.1,overcast clouds,-10.6167,150.6667,Nuli Sapi
160,Keti Bandar,PK,84.88,few clouds,24.1447,67.4497,Haji laloo memon house
165,Labuhan,ID,78.39,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
178,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
179,Dingle,PH,75.67,light rain,10.9995,122.6711,SEGAYA PROPERTY
183,Iracoubo,GF,76.1,light rain,5.4802,-53.2011,Le Gite D Iracoubo
184,Kalawit,PH,76.46,overcast clouds,8.0667,122.5167,Ompoy Pension House
187,Korhogo,CI,86.72,broken clouds,9.45,-5.6333,Hôtel Tchinbota
190,Vanimo,PG,76.91,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
195,Pacific Grove,US,75.25,scattered clouds,36.6177,-121.9166,Lovers Point Inn
198,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
202,Daru,PG,76.96,overcast clouds,-9.0763,143.2092,Daru Lodge
203,Beberibe,BR,86.04,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
205,Buala,SB,79.97,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
210,Saryagash,KZ,89.56,few clouds,41.4511,69.1701,fatyCentre Paradise
215,Kavaratti,IN,82.85,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
218,Laguna,US,89.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
223,Aswan,EG,89.87,clear sky,24.0934,32.907,Nuba Nile
225,Asyut,EG,82.87,clear sky,27.181,31.1837,Florence Hotel Assiut
229,Harper,LR,78.01,overcast clouds,4.375,-7.7169,Screensaver
230,Alofi,NU,76.35,broken clouds,-19.0595,-169.9187,Taloa Heights
232,Aquiraz,BR,86.09,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
233,Abidjan,CI,82.36,few clouds,5.3094,-4.0197,ibis Abidjan Plateau
241,Namatanai,PG,79.02,light rain,-3.6667,152.4333,Seagulls Inn Namatani
249,Botou,CN,76.95,overcast clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
251,Manthani,IN,89.76,overcast clouds,18.65,79.6667,Social Welfare Boys Hostel
252,Roma,US,89.94,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
254,Rockport,US,89.85,scattered clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
256,Salalah,OM,83.32,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
257,Caravelas,BR,77.63,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
264,Tabou,CI,77.88,overcast clouds,4.423,-7.3528,hotêl doufoulougou
266,Matagami,CA,81.19,overcast clouds,49.7502,-77.6328,Hôtel Matagami
267,Ukiah,US,89.13,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
268,Galle,LK,80.69,overcast clouds,6.0367,80.217,Amangalla
270,Sao Filipe,CV,76.48,clear sky,14.8961,-24.4956,Hotel Xaguate
276,Rasulnagar,PK,89.83,clear sky,32.3285,73.7814,Aliraza Mehar
277,Dhidhdhoo,MV,82.17,overcast clouds,6.8833,73.1,Dhidhoo beach
280,Nantucket,US,86.11,clear sky,41.2835,-70.0995,Jared Coffin House
283,Sao Jose Da Coroa Grande,BR,78.04,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
292,Auki,SB,77.02,clear sky,-8.7676,160.7034,Auki Motel
294,Hit,IQ,87.71,clear sky,33.6416,42.8251,صالون زيرو
299,Guarapari,BR,78.69,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
301,Padang,ID,76.05,scattered clouds,-0.9492,100.3543,Mercure Padang
303,Fare,PF,80.6,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
304,Mantenopolis,BR,78.84,broken clouds,-18.8625,-41.1228,Deed's Hotel
307,Kapoeta,SS,82.69,few clouds,4.7717,33.5903,Eastgate Hotel
310,Katsina,NG,86.59,light rain,12.9894,7.6006,Katsina Motel
317,Ashland,US,86.88,broken clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
322,Sao Joao Da Ponte,BR,82.98,scattered clouds,-15.9292,-44.0078,Hotel da Cidade
324,Fomboni,KM,79.83,scattered clouds,-12.28,43.7425,Pension Paradis
326,Barranco,PA,82.15,broken clouds,9.5167,-82.7,Casa doña Delfina Jiménez
329,Maunabo,PR,84.92,overcast clouds,18.0072,-65.8993,Maunacaribe
334,Taybad,IR,84.38,clear sky,34.74,60.7756,لی پوش jean center
337,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
338,Oistins,BB,81.86,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
343,Ojuelos De Jalisco,MX,77.04,broken clouds,21.8667,-101.5833,Hotel La Paz
345,Mwene-Ditu,CD,75.31,overcast clouds,-7,23.45,Hôtel Kamas
348,Kavieng,PG,81.48,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
356,Zhicheng,CN,77.77,light rain,30.2956,111.5047,Wangjiang Building
361,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
368,Komsomolskiy,UZ,83.62,overcast clouds,40.4272,71.7189,Ikathouse
369,Palu,ID,75.36,moderate rain,-0.8917,119.8707,Hotel Santika Palu
370,Loiza,PR,85.08,scattered clouds,18.4313,-65.8802,Malibu Beachfront
371,Gizo,SB,81.86,few clouds,-8.103,156.8419,Imagination Island
373,Mahajanga,MG,77.36,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
384,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
385,Namangan,UZ,84.65,few clouds,40.9983,71.6726,Oydin Plaza
394,Chapais,CA,78.8,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
403,Uthal,PK,84.85,clear sky,25.8072,66.6219,Al Madina Hotal
406,Kulhudhuffushi,MV,81.97,overcast clouds,6.6221,73.07,Haajy Guest House 1
409,Foundiougne,SN,80.64,clear sky,14.1333,-16.4667,Cap Marniane
412,Upata,VE,83.44,broken clouds,8.0086,-62.3989,Posada Villa Nela
413,Vung Tau,VN,82.63,overcast clouds,10.346,107.0843,Green hotel
414,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
416,Santa Vitoria,BR,86.18,overcast clouds,-18.8386,-50.1214,Center Hotel
417,Barahona,DO,87.62,scattered clouds,18.2085,-71.1008,Hotel Caribe
420,Anloga,GH,81.63,light rain,5.7947,0.8973,Pin Drop Hotel
423,Cabra,ES,85.44,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
424,Teofilo Otoni,BR,78.69,broken clouds,-17.8575,-41.5053,Hotel Nobre Palace
427,Ormara,PK,83.95,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
432,Nageshwari,BD,78.21,heavy intensity rain,25.9377,89.7148,Harun Villa
438,Bubaque,GW,79.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
442,Mayumba,GA,76.12,overcast clouds,-3.432,10.6554,LIKWALE LODGE
443,Makakilo City,US,77.68,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
447,Mahibadhoo,MV,83.03,overcast clouds,3.7833,72.9667,Omadhoo Inn
448,Morehead,US,76.84,light intensity drizzle,37.2711,-87.1764,CCI Express Inn
451,Nabire,ID,75,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
452,Sinnamary,GF,76.57,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
455,Mecca,SA,89.1,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
456,Santa Rosa,PH,84.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
457,Bac Lieu,VN,83.53,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
459,Millinocket,US,86.02,broken clouds,45.6573,-68.7098,Katahdin Inn & Suites
460,Lafia,NG,81.95,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
461,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
462,Faanui,PF,80.74,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
468,Shelburne,CA,89.56,clear sky,44.0787,-80.2041,The Retreat at the Farm
469,Kenitra,MA,80.73,overcast clouds,34.261,-6.5802,Bienvenue chez vous
471,Springdale,US,80.71,broken clouds,36.1867,-94.1288,Springdale Inn
472,Pasni,PK,83.55,overcast clouds,25.2631,63.471,Kashmiri Hotal
474,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
476,Sisophon,KH,80.83,overcast clouds,13.5859,102.9737,Pyramid Hotel
478,Bonthe,SL,81,moderate rain,7.5264,-12.505,Bonthe Holiday Village
479,Tamandare,BR,77.47,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
483,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
486,Thoen,TH,82.56,overcast clouds,17.6129,99.2161,Nakornthoen Hotel
488,Majene,ID,78.08,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
492,Taian,CN,76.6,overcast clouds,36.1853,117.12,Taishan International Youth Hostel
495,Mount Pleasant,US,82.4,broken clouds,32.7941,-79.8626,Best Western Patriots Point
502,Manaure,CO,86.65,overcast clouds,11.7751,-72.4445,Hotel Palaaima
503,Lubao,PH,84.15,light rain,14.9167,120.55,Hacienda Gracia
504,Hun,LY,86.04,clear sky,29.1268,15.9477,Alrwasi Hotel
508,Bud,US,84.18,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
513,Chippewa Falls,US,86.94,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
516,Kampot,KH,86.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
529,Hobyo,SO,79.12,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
530,Chapada Dos Guimaraes,BR,87.46,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
532,Otukpo,NG,76.41,overcast clouds,7.1913,8.1329,Queen s Hotel
539,Ingham,US,89.37,clear sky,42.6,-84.3833,Sunset Place
540,Ratnagiri,IN,82.63,light rain,16.9833,73.3,Hotel Landmark
543,Monrovia,LR,80.37,light rain,6.3005,-10.7969,Sunset Inn
547,Ibra,OM,81.27,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
557,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
559,Vila Velha,BR,77.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
563,Karratha,AU,75.15,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
571,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
574,San Policarpo,PH,77.56,moderate rain,12.1791,125.5072,JM Lodge
576,Barra,BR,85.8,overcast clouds,-11.0894,-43.1417,Motel Albatroz
578,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
591,Honiara,SB,76.59,clear sky,-9.4333,159.95,Heritage Park Hotel
592,Sao Miguel Do Araguaia,BR,88.81,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
597,Nuzvid,IN,85.87,few clouds,16.7833,80.85,HI-TECH LODGE
600,Hirara,JP,79.39,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
609,Balikpapan,ID,76.71,overcast clouds,-1.2675,116.8289,ibis Balikpapan
610,Kalianget,ID,80.02,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
611,Hamilton,US,84.34,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
614,Biloli,IN,84.15,scattered clouds,18.7667,77.7333,Abdul Kareem Bhai Samosa Mirchi special
616,Cadillac,US,87.03,broken clouds,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
618,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Poutur Pousada
623,Broome,US,89.69,scattered clouds,42.2506,-75.833,Chenango Valley State Park
627,Tautira,PF,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
629,Robertsport,LR,81.36,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
630,Luanda,AO,77,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
632,Kirakira,SB,79.16,overcast clouds,-10.4544,161.9205,SanBiz Lodge
636,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
640,Stephenville,US,84.76,broken clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
642,Shiyan,CN,75.87,light rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
646,Glendale Heights,US,88.59,scattered clouds,41.9103,-88.0717,Hilton Garden Inn Addison
647,Kilindoni,TZ,79.61,clear sky,-7.9139,39.6668,Bustani B&B
648,Cururupu,BR,82.47,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
649,Chotila,IN,83.26,clear sky,22.4167,71.1833,Hotel Honest
650,Doba,TD,82.56,clear sky,8.65,16.85,Restaurant Auberge La Pétrolière
659,Passo De Camaragibe,BR,81.95,clear sky,-9.2368,-35.4901,Chácara vovó candinha
660,Kintampo,GH,82.38,scattered clouds,8.0563,-1.7306,Adomaa Memorial Hotel
661,Lazaro Cardenas,MX,88.83,broken clouds,17.9583,-102.2,quinta antigua
664,Biak,ID,75.34,overcast clouds,-0.9131,122.8766,Penginapan Kim
667,Luganville,VU,76.35,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
669,Nangong,CN,76.55,overcast clouds,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
670,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
673,Pointe Michel,DM,79.14,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
675,The Valley,AI,84.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
676,Madridejos,ES,82.11,clear sky,39.4682,-3.532,CASA RURAL LA ALAMEDA
682,Humaita,BR,89.96,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
685,Corrente,BR,83.88,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
687,Ranong,TH,78.66,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
689,Jacareacanga,BR,84.81,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
690,Itoman,JP,75.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
691,Porto Novo,BJ,80.17,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
694,Omboue,GA,76.86,broken clouds,-1.5746,9.2618,Hotel Olako
697,Ciudad Bolivar,VE,87.49,broken clouds,8.1222,-63.5497,Hotel Edi
699,Semporna,MY,78.35,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
703,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
710,Wilmington,US,82.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
711,Vaitape,PF,80.74,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
713,Quibdo,CO,84.7,overcast clouds,5.6947,-76.6611,Hotel Angeles
